Higher education,Minnesota Supercomputing Institute,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e6157.fragment.html
Financial Technology,ICE Mortgage Technology,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e5891.fragment.html
IT services,NovoServe,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e6154.fragment.html
Mobile telco/IT services,A1 Srbija,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e6160.fragment.html
Public sector,Yuma County,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e5888.fragment.html
Transportation,Wabtec Corporation,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e6075.fragment.html
Sports and entertainment,Western Canada Lottery Corporation,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e5622.fragment.html
Higher education,CITYU,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e5961.fragment.html
Healthcare,CHU Dijon Bourgogne,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e5618.fragment.html
Public sector,Parliament of Maldives,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e5885.fragment.html
Financial services,MNRB Holdings Berhad,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e5614.fragment.html
Cloud services,Wiz technologies,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e5615.fragment.html
Media and Entertainment,Plastic Wax,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e5865.fragment.html
Retail/Consumer Goods,Betterware,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e5613.fragment.html
IT services,Centric,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e5498.fragment.html
Compliance and Safety,J. J. Keller,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e5187.fragment.html
Air navigation,Skyguide,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e5356.fragment.html
Financial Services,BlueShore Financial,https://www.hpe.com/us/en/customer-case-studies.html?emodal=/us/en/customer-case-studies/modal-fragment/e5388.fragment.html
